id_venta,fecha,mes,anio,id_cliente,nombre_cliente,zona_cliente,segmento_cliente,id_vendedor,nombre_vendedor,zona_vendedor,id_producto,nombre_producto,categoria,precio_unitario,cantidad,descuento,monto_total,stock_minimo
VTA0159406,2024-09-02,9,2024,C00067,Yeni Menéndez,Norte,Ocasional,V042,  Srita. Sandra Escamilla  ,Norte,P0089,Mouse Logitech G Pro X,Gaming,6451.74,3.0,0.15,16451.94,45
VTA0159407,2024-09-05,9,2024,C01382,Dalia Vela,Norte,Regular,V046,Hermelinda Josefina Rodarte Bahena,Norte,P0072,Huawei MatePad Pro,Tablets,18918.39,4.0,0.09,68862.94,43
VTA0159408,2024-09-09,9,2024,C04262,Nelly Karla Díaz Villegas,Este,Ocasional,V032,Nelly Barela Cardenas,Este,P0092,Micrófono Blue Yeti,Gaming,12876.21,3.0,0.18,31675.48,47
VTA0159409,2024-09-19,9,2024,C04875,  Juan Carlos Orosco  ,Este,REGULAR,V049,Ing. María Teresa Bétancourt,Este,P0015,Nokia G42,Celulares,19777.77,3.0,0.1,-53399.98,26
VTA0159410,2024-09-17,9,2024,C04897,Eva Salas Valentín,Sur,Premium,V024,Bernabé Guerra,Sur,P0049,Cargador MagSafe 30W,Accesorios,951.64,4.0,0.12,3349.77,37
VTA0159411,2024-09-07,9,2024,C04481,Ing. María Eugenia Mateo,Oeste,Regular,V026,Ing. Elias Valdivia,Oeste,P0031,Acer Aspire 7,Laptops,9213.03,4.0,0.15,31324.3,38
VTA0159412,2024-09-20,9,2024,C00365,Rafaél Valles Archuleta,Centro,Ocasional,V034,Rufino Rivera,Sur,P0050,Cable USB-C 2m,Accesorios,1434.38,2.0,0.14,2467.13,32
VTA0159413,2024-09-14,9,2024,C01291,Adriana Ana María Cervántez Domínguez,Norte,Ocasional,V015,Joaquín Benavides Meza,Norte,P0030,Lenovo IdeaPad 5,celulares,38267.73,2.0,0.02,75004.75,21
VTA0159414,2024-09-12,9,2024,C03200,Judith Nevárez Guevara,Centro,Regular,V044,Julia Esther Solorio,Centro,P0093,GPU RTX 4070 Ti,Gaming,31445.49,5.0,0.2,125781.96,29
VTA0159415,2024-09-18,9,2024,C04278,Barbara Guadalupe Polanco,Centro,Premium,V003,Jacinto Rivero Valladares,Centro,P0066,Samsung Galaxy Tab S9,Tablets,13488.76,2.0,0.07,25089.09,24
VTA0159416,2024-09-29,9,2024,C02520,Ilse Velásquez,Norte,Regular,V043,Homero Esquivel,Norte,P0003,Xiaomi 14 Pro,Celulares,20653.76,3.0,0.13,53906.31,36
VTA0159417,2024-09-23,9,2024,C03493,Elias Briones Razo,Norte,Ocacional,V016,Octavio Mario Rincón Marín,Norte,P0124,Sensor Movimiento Aqara,Hogar Inteligente,8390.09,5.0,0.19,33979.86,35
VTA0159418,2024-09-16,9,2024,C03278,Teodoro Felipe Partida Orosco,Sur,Premium,V027,Claudio Andrés Gómez Sosa,Sur,P0048,Skullcandy Crusher,hogar inteligente,3790.64,3.0,0.01,11258.2,44
VTA0159419,2024-09-08,9,2024,C03925,Gabriel Carrasco Guillen,Centro,premiun,V017,Abraham Apodaca Colunga,Centro,P0011,iPhone 14,Celulares,9685.96,2.0,0.06,18209.6,43
VTA0159420,2024-09-15,9,2024,C01434,Dr. Juan Roldán,Norte,Premium,V015,Joaquín Benavides Meza,Norte,P0013,Xiaomi Redmi Note 13,Celulares,11836.1,5.0,0.08,54446.06,30
VTA0159421,22/09/2024,9,2024,C04607,Victoria Enríquez Nazario,Sur,premiun,V021,  Cristal Valdés Maya  ,Sur,P0049,Cargador MagSafe 30W,Accesorios,885.5,4.0,0.02,3471.16,37
VTA0159422,2024-09-01,9,2024,C02080,Gabriela Luz Torres,Oeste,Ocasional,V038,Violeta Itzel Benavídez,Oeste,P0029,HP Pavilion 15,Laptops,9124.42,3.0,0.15,23267.27,24
VTA0159423,08/09/2024,9,2024,C02559,Miguel Ángel Estrada,Norte,Premium,V015,Joaquín Benavides Meza,Norte,P0088,Teclado Razer Huntsman,LAPTOPS,21209.74,1.0,0.02,20785.55,44
VTA0159424,22/09/2024,9,2024,C01567,Marcela Macías,Sur,Ocasional,V012,Rubén Marco Antonio Orta Ramos,Sur,P0012,Samsung A55,Celulares,21848.87,4.0,0.15,74286.16,36
VTA0159425,2024-09-23,9,2024,C02150,  Carmen Blanca Amaya Curiel  ,Norte,Regular,V015,Joaquín Benavides Meza,Norte,P0044,Anker Q45,Audio,6940.29,5.0,0.01,34354.44,23
VTA0159426,2024-09-29,9,2024,C02484,Jos Pedraza Arevalo,Sur,Ocasional,V034,Rufino Rivera,Sur,P0052,Protector Pantalla S24,Accesorios,1174.15,2.0,0.16,1972.57,31
VTA0159427,05/09/2024,9,2024,C02053,Samuel Hinojosa,Oeste,Premium,V040,Karla Silvia Mireles Patiño,Oeste,P0027,MacBook Air M2,Laptops,38571.82,3.0,0.17,96043.83,24
VTA0159428,2024-09-07,9,2024,C04432,Elsa Burgos Zambrano,Sur,Regular,V013,Alvaro Gaona Ocasio,Sur,P0018,Dell XPS 15,Laptops,38282.54,2.0,0.16,64314.67,40
VTA0159429,2024-09-24,9,2024,C03096,Sra. Pamela Ozuna,Sur,premiun,V022,Bernardo Lemus Caballero,Oeste,P0058,Mochila Techpack 30L,Accesorios,785.66,2.0,0.06,1477.04,23
VTA0159430,2024-09-26,9,2024,C03871,Sonia Margarita Salas,Centro,Premium,V031,  Bernabé César Salazar  ,Centro,P0038,Beats Studio Pro,gaming,2399.08,1.0,0.03,2327.11,39
VTA0159431,2024-09-22,9,2024,C04039,Isabel Carrillo Arenas,Este,REGULAR,V011,Clara Loera,Este,P0010,Huawei Pura 70,Celulares,9585.5,1.0,0.11,8531.09,27
VTA0159432,14/09/2024,9,2024,C03266,Mario Gálvez,Norte,Premium,V016,Octavio Mario Rincón Marín,Norte,P0060,Adaptador HDMI 4K,Accesorios,963.15,1.0,0.19,780.15,29
VTA0159433,2024-09-15,9,2024,C00018,,Oeste,Ocasional,V040,Karla Silvia Mireles Patiño,Oeste,P0020,Lenovo ThinkPad X1,Laptops,23423.71,4.0,0.06,88073.15,42
VTA0159434,2024-09-25,9,2024,C00139,Cristian José Menchaca,Norte,Regular,V004,Aurora Zelaya,Norte,P0103,Lente Canon RF 50mm,Fotografía,15394.83,4.0,0.1,55421.39,31
VTA0159435,2024-09-21,9,2024,C04642,Dr. Oswaldo Pineda,Centro,Premiun,V022,Bernardo Lemus Caballero,Oeste,P0102,GoPro Hero 12,Fotografía,24967.4,3.0,0.06,70408.07,45
