id_venta,fecha,mes,anio,id_cliente,nombre_cliente,zona_cliente,segmento_cliente,id_vendedor,nombre_vendedor,zona_vendedor,id_producto,nombre_producto,categoria,precio_unitario,cantidad,descuento,monto_total,stock_minimo
VTA0000001,2021-01-01,1,2021,C04040,Ing. Úrsula Becerra,Norte,Regular,V015,Joaquín Benavides Meza,Norte,P0056,Webcam Logitech C920,Accesorios,1859.63,2.0,0.06,3496.1,43
VTA0000002,2021-01-05,1,2021,C00721,  Federico Camilo Aguayo Fuentes  ,Este,Ocasional,V010,Sra. Guadalupe Llamas,Este,P0043,Sony WF-1000XM5,Audio,4339.68,1.0,0.05,4122.7,25
VTA0000003,2021-01-19,1,2021,C04680,Rufino Gregorio Montalvo Carbajal,Sur,Ocasional,V008,Irene Franco,Sur,P0104,Flash Godox V1,Fotografía,15982.26,3.0,0.09,43631.57,40
VTA0000004,2021-01-07,1,2021,C00881,Sr. Jorge Guardado,Oeste,Premium,V030,Gustavo Camilo Ochoa Gamboa,Oeste,P0092,Micrófono Blue Yeti,Gaming,12542.39,4.0,0.01,49667.86,47
VTA0000005,26/01/2021,1,2021,C00503,Ignacio Óliver Venegas,Este,Premiun,V032,Nelly Barela Cardenas,Este,P0115,Apple HomePod Mini,Hogar Inteligente,6680.6,1.0,0.06,6279.76,46
VTA0000006,2021-01-04,1,2021,C01656,Cristian Modesto Caballero Montes,Centro,REGULAR,V003,Jacinto Rivero Valladares,Centro,P0082,Xbox Series X,Gaming,10602.02,5.0,0.12,46648.89,30
VTA0000007,2021-01-08,1,2021,C00609,  Ing. Luis Leyva  ,Centro,Regular,V003,Jacinto Rivero Valladares,Centro,P0077,Blackview Tab 16,Tablets,10364.81,2.0,0.18,16998.29,21
VTA0000008,07/01/2021,1,2021,C01667,Nancy Gloria Pacheco,Este,Ocasional,V032,Nelly Barela Cardenas,Este,P0102,GoPro Hero 12,gaming,25480.2,,0.16,42806.74,45
VTA0000009,2021-01-21,1,2021,C03795,Wendolin Ruiz Yáñez,Sur,Premium,V036,  Dr. Ignacio Aparicio  ,Sur,P0087,Headset HyperX Cloud III,Gaming,2060.04,5.0,0.01,10197.2,38
VTA0000010,2021-01-11,1,2021,C00673,Renato Ulloa Cruz,Norte,Regular,V009,Amanda María José Bravo,Norte,P0018,Dell XPS 15,Laptops,35142.09,1.0,0.04,33736.41,40
VTA0000011,2021-01-20,1,2021,C01073,Gloria Vigil Niño,Oeste,Premium,V050,José María Gustavo Beltrán,Oeste,P0027,MacBook Air M2,Laptops,37532.99,1.0,0.1,33779.69,24
VTA0000012,2021-01-05,1,2021,C03534,José María Cadena Berríos,Sur,Regular,V020,Dr. Arturo Angulo,Sur,P0019,HP Spectre x360,Laptops,35688.72,3.0,0.15,91006.24,26
VTA0000013,2021-01-24,1,2021,C03074,Cristina Aguilera Elizondo,Oeste,Premiun,V050,José María Gustavo Beltrán,Oeste,P0109,Filtro ND Variable,Fotografía,3610.56,3.0,0.07,10073.46,30
VTA0000014,2021-01-16,1,2021,C04371,Sr. Roberto Candelaria,Este,Regular,V011,Clara Loera,Este,P0005,OnePlus 12,audio ,5737.02,1.0,0.18,4704.36,40
VTA0000015,2021-01-06,1,2021,C04425,Beatriz Ureña,Sur,Regular,V019,Jacinto Rodrigo Salazar Rolón,Sur,P0019,HP Spectre x360,Laptops,39223.63,1.0,0.03,38046.92,26
VTA0000016,2021-01-03,1,2021,C03695,Celia Abrego,Norte,Ocasional,V016,Octavio Mario Rincón Marín,Norte,P0109,Filtro ND Variable,Fotografía,3630.28,5.0,0.01,17969.89,30
VTA0000017,2021-01-05,1,2021,C04887,Yolanda Becerra,Norte,Ocasional,V029,Francisco Ballesteros,Norte,P0047,Bose SoundLink,Audio,4283.6,4.0,0.04,16449.02,44
VTA0000018,2021-01-12,1,2021,C04922,Clara Velázquez Quintanilla,Este,REGULAR,V032,Nelly Barela Cardenas,Este,P0018,Dell XPS 15,Laptops,41006.13,5.0,0.14,176326.36,40
VTA0000019,2021-01-30,1,2021,C01719,Wendolin Ana María Serrato García,Oeste,Premium,V022,Bernardo Lemus Caballero,Oeste,P0005,OnePlus 12,Celulares,5030.5,2.0,0.09,9155.51,40
VTA0000020,2021-01-22,1,2021,C02392,Paulina Vaca,Centro,Ocasional,V041,Srita. Nadia Casas,Centro,P0068,Lenovo Tab P12,Tablets,13428.73,2.0,0.05,25514.59,21
VTA0000021,2021-01-07,1,2021,C01303,Diego Enrique Chacón,Este,Ocasional,V032,Nelly Barela Cardenas,Este,P0099,Nikon Z6 III,gaming,28634.24,3.0,0.02,84184.67,21
VTA0000022,28/01/2021,1,2021,C04519,María Elena Rebeca Lerma,Este,Ocasional,V021,  Cristal Valdés Maya  ,Sur,P0022,Acer Swift 5,Laptops,31462.72,1.0,0.02,30833.47,41
VTA0000023,26/01/2021,1,2021,C00516,Rosalia Cadena,Norte,Premium,V002,Nelly Marrero Ortiz,Norte,P0115,Apple HomePod Mini,Hogar Inteligente,6995.91,2.0,0.17,11613.21,46
VTA0000024,2021-01-25,1,2021,C03584,Mitzy Carla Aguirre,Centro,Ocasional,V031,  Bernabé César Salazar  ,Centro,P0123,Cerradura Yale Smart,Hogar Inteligente,8449.56,3.0,0.13,22053.35,29
VTA0000025,2021-01-23,1,2021,C03055,Lic. Daniel Chavarría,Norte,Premium,V009,Amanda María José Bravo,Norte,P0057,Soporte Laptop Adjustable,Accesorios,488.55,3.0,0.16,1231.15,39
VTA0000026,2021-01-30,1,2021,C01493,Jorge Iglesias,Oeste,Premium,V030,Gustavo Camilo Ochoa Gamboa,Oeste,P0113,Alexa Echo Dot 5,fotografia,11351.85,5.0,0.08,52218.51,20
VTA0000027,2021-01-24,1,2021,C02699,,Norte,Regular,V002,Nelly Marrero Ortiz,Norte,P0114,Google Nest Hub 2,Hogar Inteligente,5896.68,4.0,0.04,22643.25,45
VTA0000028,2021-01-14,1,2021,C02820,Felix Julio César Cedillo de la Fuente,Oeste,Premium,V019,Jacinto Rodrigo Salazar Rolón,Sur,P0080,Honor Pad 8,Tablets,9993.38,1.0,0.03,9693.58,19
VTA0000029,2021-01-28,1,2021,C04934,Linda Sanches,Norte,REGULAR,V029,Francisco Ballesteros,Norte,P0009,Sony Xperia 1 VI,Celulares,23773.95,5.0,0.2,95095.8,24
VTA0000030,2021-01-23,1,2021,C04288,Antonio Armendáriz Garay,Sur,Premium,V036,  Dr. Ignacio Aparicio  ,Sur,P0016,Tecno Spark 20,Celulares,15780.51,3.0,0.02,46394.7,20
VTA0000031,2021-01-21,1,2021,C02871,Luisa Uribe Bonilla,Este,Ocacional,V010,Sra. Guadalupe Llamas,Este,P0089,Mouse Logitech G Pro X,Gaming,6752.94,2.0,0.15,11480.0,45
VTA0000032,2021-01-01,1,2021,C01654,Sra. Esparta Godoy,Norte,Ocasional,V015,Joaquín Benavides Meza,Norte,P0004,Google Pixel 8,Celulares,5681.9,4.0,0.08,20909.39,34
VTA0000033,2021-01-05,1,2021,C04768,  Germán Gregorio Véliz  ,Este,Premiun,V033,Jaime Gamez Maldonado,Centro,P0097,Canon EOS R6 Mark II,Fotografía,31624.86,2.0,0.0,63249.72,38
VTA0000034,2021-01-25,1,2021,C02984,Lic. Daniel Caballero,Centro,Regular,V044,Julia Esther Solorio,Centro,P0001,iPhone 15 Pro,Celulares,20669.7,3.0,0.03,60148.83,37
VTA0000035,2021-01-31,1,2021,C03685,Amador Gerardo Arroyo,Sur,Regular,V021,  Cristal Valdés Maya  ,Sur,P0124,Sensor Movimiento Aqara,Hogar Inteligente,7816.23,1.0,0.19,6331.15,35
VTA0000036,2021-01-30,1,2021,C01780,Ing. Elisa Cuellar,Norte,premiun,V002,Nelly Marrero Ortiz,Norte,P0062,Reloj Smartwatch Band,Accesorios,1289.32,3.0,0.13,3365.13,38
VTA0000037,2021-01-28,1,2021,C01800,Gonzalo Lucio Quintero,Oeste,Ocasional,V038,Violeta Itzel Benavídez,Oeste,P0104,Flash Godox V1,Fotografía,15616.33,5.0,0.14,67150.22,40
VTA0000038,2021-01-10,1,2021,C00317,Dra. Rosa Ponce,Oeste,Ocasional,V045,Marisela Vanesa Chapa Aranda,Norte,P0062,Reloj Smartwatch Band,Accesorios,1287.47,1.0,0.02,1261.72,38
VTA0000039,2021-01-17,1,2021,C00849,Sr. Germán Barela,Este,Ocasional,V010,Sra. Guadalupe Llamas,Este,P0116,Foco Philips Hue,Hogar Inteligente,3782.09,1.0,0.04,3630.81,44
VTA0000040,2021-01-29,1,2021,C03540,Sra. Estela Báez,Centro,Ocacional,V031,  Bernabé César Salazar  ,Centro,P0056,Webcam Logitech C920,Accesorios,1696.89,2.0,0.01,3359.84,43
VTA0000041,2021-01-12,1,2021,C00695,Dr. Francisco Melgar,Norte,Ocasional,V016,Octavio Mario Rincón Marín,Norte,P0065,iPad Pro M2 12.9,fotografia,7292.97,2.0,0.1,13127.35,21
VTA0000042,2021-01-18,1,2021,C01491,Sra. Carolina Lucio,Norte,Ocasional,V015,Joaquín Benavides Meza,Norte,P0083,Nintendo Switch OLED,hogar inteligente,14871.61,1.0,0.1,13384.45,39
VTA0000043,2021-01-23,1,2021,C02817,María del Carmen Rodrígez Roque,Norte,Premium,V016,Octavio Mario Rincón Marín,Norte,P0056,Webcam Logitech C920,fotografia,1824.62,5.0,0.11,8119.56,43
VTA0000044,2021-01-27,1,2021,C03157,Lic. Lourdes Otero,Este,Ocasional,V032,Nelly Barela Cardenas,Este,P0098,Sony Alpha 7 IV,Fotografía,20984.36,1.0,0.02,20564.67,34
VTA0000045,28/01/2021,1,2021,C04155,Sr. Francisco Javier Galván,Norte,premiun,V043,Homero Esquivel,Norte,P0030,Lenovo IdeaPad 5,Laptops,41556.66,4.0,0.17,137968.11,21
VTA0000046,2021-01-05,1,2021,C03103,Claudia Balderas,Sur,Ocasional,V036,  Dr. Ignacio Aparicio  ,Sur,P0039,Sennheiser HD 450,Audio,985.56,3.0,0.08,2720.15,24
VTA0000047,22/01/2021,1,2021,C04280,Estefanía Naranjo,Oeste,Premium,V014,Ofelia Miriam Negrón,Oeste,P0003,Xiaomi 14 Pro,Celulares,23756.9,2.0,0.06,44662.97,36
VTA0000048,2021-01-16,1,2021,C01614,Antonia Yeni Ríos Gil,Sur,Regular,V036,  Dr. Ignacio Aparicio  ,Sur,P0051,Funda iPhone 15 Pro,Accesorios,1250.78,,0.19,3039.4,40
VTA0000049,2021-01-16,1,2021,C04474,Flavio José María Soto,Este,Premium,V011,Clara Loera,Este,P0099,Nikon Z6 III,Fotografía,27528.76,2.0,0.18,45147.17,21
VTA0000050,2021-01-17,1,2021,C02213,María del Carmen Alarcón,Sur,Ocasional,V027,Claudio Andrés Gómez Sosa,Sur,P0126,Proyector BenQ 4K,Hogar Inteligente,7466.37,1.0,0.03,7242.38,35
VTA0000051,16/01/2021,1,2021,C00012,Rafaél Darío Saiz Rosado,Sur,ocasional,V024,Bernabé Guerra,Sur,P0053,Hub USB-C 7en1,Accesorios,406.23,1.0,0.11,361.54,20
VTA0000052,2021-01-30,1,2021,C02515,David Augusto Olivas Acevedo,Oeste,Ocasional,V023,Fidel Negrete Domínguez,Sur,P0009,Sony Xperia 1 VI,Celulares,25445.95,4.0,0.16,85498.39,24
VTA0000053,07/01/2021,1,2021,C01786,Lic. Carolina Sáenz,Sur,Premiun,V021,  Cristal Valdés Maya  ,Sur,P0077,Blackview Tab 16,Tablets,10843.56,4.0,0.13,37735.59,21
VTA0000054,2021-01-16,1,2021,C02399,Enrique Reyna,Norte,ocasional,V043,Homero Esquivel,Norte,P0105,Tripié Joby GorillaPod,Fotografía,10650.34,2.0,0.04,20448.65,41
VTA0000055,2021-01-29,1,2021,C01971,Yeni Porras Gaona,Este,Premium,V032,Nelly Barela Cardenas,Este,P0018,Dell XPS 15,Laptops,38314.78,5.0,0.17,159006.34,40
VTA0000056,2021-01-15,1,2021,C01619,Lic. Ricardo Candelaria,Centro,Premium,V031,  Bernabé César Salazar  ,Centro,P0030,Lenovo IdeaPad 5,Laptops,43215.02,3.0,0.15,110198.3,21
VTA0000057,2021-01-12,1,2021,C00630,Antonio Malave Montoya,Centro,Premium,V028,Sofía Delia Gurule Cantú,Centro,P0118,Termostato Nest 3,Hogar Inteligente,1394.3,3.0,0.0,4182.9,30
VTA0000058,2021-01-31,1,2021,C02064,Berta Canales Barrientos,Este,Premiun,V011,Clara Loera,Este,P0124,Sensor Movimiento Aqara,Hogar Inteligente,8026.23,2.0,0.16,13484.07,35
VTA0000059,2021-01-22,1,2021,C02347,Rosalia Marisol Roque,Oeste,Ocasional,V014,Ofelia Miriam Negrón,Oeste,P0114,Google Nest Hub 2,Hogar Inteligente,4950.58,1.0,0.07,4604.04,45
VTA0000060,02/01/2021,1,2021,C03868,  Aurelio del Valle  ,Este,Regular,V011,Clara Loera,Este,P0071,ASUS Zenpad 3S,Tablets,15065.3,3.0,0.01,44743.94,20
VTA0000061,2021-01-09,1,2021,C01963,  Sonia Sara Saldaña  ,Centro,Regular,V033,Jaime Gamez Maldonado,Centro,P0073,Microsoft Surface Go 3,Tablets,10894.78,5.0,0.11,48481.77,22
VTA0000062,2021-01-16,1,2021,C03844,Ricardo Francisco Vázquez,Sur,Premium,V012,Rubén Marco Antonio Orta Ramos,Sur,P0051,Funda iPhone 15 Pro,Accesorios,1247.78,5.0,0.1,5615.01,40
VTA0000063,2021-01-30,1,2021,C01212,Sr. Aldo Cabrera,Sur,Regular,V019,Jacinto Rodrigo Salazar Rolón,Sur,P0040,Jabra Elite 85h,Audio,2848.31,2.0,0.19,4614.26,38
VTA0000064,23/01/2021,1,2021,C02116,Beatriz Citlali Rangel,Este,Regular,V011,Clara Loera,Este,P0002,Samsung Galaxy S24,Celulares,8623.86,1.0,0.19,6985.33,19
VTA0000065,2021-01-06,1,2021,C03752,Ing. Humberto Márquez,Oeste,Regular,V050,José María Gustavo Beltrán,Oeste,P0033,Sony WH-1000XM5,celulares,7268.02,3.0,0.17,18097.37,25
VTA0000066,2021-01-03,1,2021,C04027,Lic. Magdalena Nieves,Centro,Ocasional,V028,Sofía Delia Gurule Cantú,Centro,P0045,Marshall Emberton III,Audio,7709.68,1.0,0.11,6861.62,22
VTA0000067,2021-01-04,1,2021,C02908,Florencia Cortez Carrero,Oeste,Premium,V001,Fernando Casares Jimínez,Oeste,P0126,Proyector BenQ 4K,Hogar Inteligente,7415.7,2.0,0.16,12458.38,35
VTA0000068,2021-01-13,1,2021,C03638,Bernabé Benavides,Oeste,Ocasional,V014,Ofelia Miriam Negrón,Oeste,P0081,PlayStation 5,Gaming,10141.37,4.0,0.17,33669.35,46
VTA0000069,2021-01-19,1,2021,C03182,Miriam Camila Pabón Rodrígez,Centro,Ocasional,V028,Sofía Delia Gurule Cantú,Centro,P0034,AirPods Pro 2,Audio,1323.82,5.0,0.01,6552.91,27
VTA0000070,2021-01-31,1,2021,C04244,Arcelia Ángela Orozco,Este,Ocasional,V049,Ing. María Teresa Bétancourt,Este,P0089,Mouse Logitech G Pro X,Gaming,7259.01,1.0,0.03,7041.24,45
VTA0000071,2021-01-30,1,2021,C01602,Paola Velázquez,Sur,Regular,V018,Lic. Gilberto Castellanos,Sur,P0025,Razer Blade 15,Laptops,26759.9,1.0,0.12,23548.71,44
