id_venta,fecha,mes,anio,id_cliente,nombre_cliente,zona_cliente,segmento_cliente,id_vendedor,nombre_vendedor,zona_vendedor,id_producto,nombre_producto,categoria,precio_unitario,cantidad,descuento,monto_total,stock_minimo
VTA0117968,2023-10-22,10,2023,C04421,Gilberto Matías,Norte,Premiun,V004,Aurora Zelaya,Norte,P0039,Sennheiser HD 450,Audio,1110.94,3.0,0.1,2999.54,24
VTA0117969,2023-10-16,10,2023,C02470,Ángela Anel Montero de León,Centro,ocasional,V017,Abraham Apodaca Colunga,Centro,P0003,Xiaomi 14 Pro,Celulares,22333.05,4.0,0.0,89332.2,36
VTA0117970,03/10/2023,10,2023,C02452,Virginia Juárez,Oeste,Ocasional,V007,Conchita Leticia Gastélum Corral,Oeste,P0063,Pad Mouse XL Gaming,Accesorios,1993.54,3.0,0.02,5861.01,42
VTA0117971,2023-10-02,10,2023,C04458,  Yeni Lourdes Zamudio Olmos  ,Este,premiun,V049,Ing. María Teresa Bétancourt,Este,P0007,Realme GT5,tablets,16271.44,1.0,0.01,16108.73,39
VTA0117972,2023-10-14,10,2023,C03471,Srita. Pilar Berríos,Norte,Regular,V002,Nelly Marrero Ortiz,Norte,P0051,Funda iPhone 15 Pro,Accesorios,1217.25,3.0,0.1,3286.58,40
VTA0117973,2023-10-09,10,2023,C01158,Ariadna Nancy Magaña,Norte,Ocasional,V009,Amanda María José Bravo,Norte,P0080,Honor Pad 8,Tablets,8592.42,5.0,0.03,41673.24,19
VTA0117974,28/10/2023,10,2023,C04503,Claudio Gonzalo Mojica Ramos,Este,Premium,V049,Ing. María Teresa Bétancourt,Este,P0095,SSD Samsung 980 Pro,Gaming,2810.98,3.0,0.12,7420.99,28
VTA0117975,2023-10-27,10,2023,C00691,María Alvarez,Sur,Premium,V013,Alvaro Gaona Ocasio,Sur,P0091,Capturadora Elgato 4K,Gaming,1404.68,2.0,0.09,2556.52,25
VTA0117976,2023-10-27,10,2023,C02886,  Raquel Guevara  ,Oeste,Premiun,V030,Gustavo Camilo Ochoa Gamboa,Oeste,P0068,Lenovo Tab P12,Tablets,15629.98,2.0,0.14,26883.57,21
VTA0117977,2023-10-11,10,2023,C01950,Alvaro Rascón,Este,Premium,V005,Aldo Adán Rodrígez Galarza,Este,P0114,Google Nest Hub 2,Hogar Inteligente,5556.66,5.0,0.07,25838.47,45
