id_venta,fecha,mes,anio,id_cliente,nombre_cliente,zona_cliente,segmento_cliente,id_vendedor,nombre_vendedor,zona_vendedor,id_producto,nombre_producto,categoria,precio_unitario,cantidad,descuento,monto_total,stock_minimo
VTA0167008,2024-11-23,11,2024,C04264,Julio César Guillermo Ríos Grijalva,Oeste,Ocasional,V030,Gustavo Camilo Ochoa Gamboa,Oeste,P0042,Audio Technica ATH,Audio,6175.68,2.0,0.02,12104.33,31
VTA0167009,12/11/2024,11,2024,C03086,Samuel Cordero,Oeste,Ocasional,V014,Ofelia Miriam Negrón,Oeste,P0092,Micrófono Blue Yeti, Accesorios,12354.25,1.0,0.13,10748.2,47
VTA0167010,2024-11-20,11,2024,C04702,  Dr. Luis Manuel Curiel  ,Este,Premium,V005,Aldo Adán Rodrígez Galarza,Este,P0052,Protector Pantalla S24,LAPTOPS,1208.02,4.0,0.0,4832.08,31
VTA0167011,2024-11-27,11,2024,C00573,José Eduardo Cristian Jaramillo Almaraz,Sur,Premium,V024,Bernabé Guerra,Sur,P0044,Anker Q45,Audio,7782.55,5.0,0.02,38134.5,23
VTA0167012,2024-11-16,11,2024,C03874,Srita. Bianca Arce,Oeste,Ocasional,V040,Karla Silvia Mireles Patiño,Oeste,P0086,Silla Gamer DXRacer,Gaming,22487.12,1.0,0.02,22037.38,26
VTA0167013,02/11/2024,11,2024,C02419,Patricio Palomino Guillen,Norte,Premium,V002,Nelly Marrero Ortiz,Norte,P0029,HP Pavilion 15,celulares,9274.35,5.0,0.07,43125.73,24
VTA0167014,2024-11-20,11,2024,C04001,Jorge Salgado,Centro,Premium,V037,Victoria Caridad Concepción,Centro,P0078,Chuwi HiPad X,Tablets,13526.54,1.0,0.03,13120.74,20
VTA0167015,2024-11-01,11,2024,C00502,  Nadia María Cristina Niño  ,Sur,Premium,V008,Irene Franco,Sur,P0048,Skullcandy Crusher,Audio,3322.98,5.0,0.16,13956.52,44
VTA0167016,2024-11-13,11,2024,C02161,  Rebeca Isabela Garay  ,Centro,Premium,V044,Julia Esther Solorio,Centro,P0043,Sony WF-1000XM5,Audio,3941.24,5.0,0.09,17932.64,25
VTA0167017,2024-11-24,11,2024,C02095,Eva Gamez,Norte,ocasional,V029,Francisco Ballesteros,Norte,P0045,Marshall Emberton III, Accesorios,7265.54,3.0,0.12,19181.03,22
VTA0167018,2024-11-17,11,2024,C04009,Marcela Gaytán,Norte,Regular,V016,Octavio Mario Rincón Marín,Norte,P0035,Bose QC45,celulares,2648.2,3.0,0.14,6832.36,19
VTA0167019,2024-11-22,11,2024,C02711,Rodolfo Humberto Bahena,Sur,Ocasional,V018,Lic. Gilberto Castellanos,Sur,P0040,Jabra Elite 85h,Audio,2904.7,2.0,0.07,5402.74,38
VTA0167020,2024-11-28,11,2024,C03316,Rodolfo Gaona Manzanares,Este,Ocasional,V005,Aldo Adán Rodrígez Galarza,Este,P0017,MacBook Pro M3,Laptops,12712.44,3.0,0.19,30891.23,43
VTA0167021,16/11/2024,11,2024,C01655,Lic. Ángel Tovar,Sur,Regular,V027,Claudio Andrés Gómez Sosa,Sur,P0119,Enchufe Inteligente TP,Hogar Inteligente,4527.61,5.0,0.04,21732.53,27
VTA0167022,02/11/2024,11,2024,C03992,Enrique Zamora,Este,Premium,V011,Clara Loera,Este,P0100,Fujifilm X-T5,Fotografía,17717.03,4.0,0.11,63072.63,42
VTA0167023,2024-11-09,11,2024,C00611,Ramón Leonardo Rodarte Maldonado,Sur,Premium,V019,Jacinto Rodrigo Salazar Rolón,Sur,P0060,Adaptador HDMI 4K,Accesorios,1040.33,2.0,0.14,1789.37,29
VTA0167024,2024-11-26,11,2024,C01209,Sra. Dolores Perea,Centro,Regular,V017,Abraham Apodaca Colunga,Centro,P0008,OPPO Find X7,Celulares,19665.04,5.0,0.09,89475.93,26
