id_venta,fecha,mes,anio,id_cliente,nombre_cliente,zona_cliente,segmento_cliente,id_vendedor,nombre_vendedor,zona_vendedor,id_producto,nombre_producto,categoria,precio_unitario,cantidad,descuento,monto_total,stock_minimo
VTA0005230,2021-03-19,3,2021,C02219,Jacobo Adalberto Mata,Oeste,Regular,V014,Ofelia Miriam Negrón,Oeste,P0112,Estabilizador DJI OM6,Fotografía,16137.54,2.0,0.04,30984.08,33
VTA0005231,2021-03-13,3,2021,C04139,Lic. Sessa Melgar,Este,Premium,V011,Clara Loera,Este,P0090,Control Xbox Elite 2,Gaming,28732.98,4.0,0.13,99990.77,40
VTA0005232,08/03/2021,3,2021,C02294,Clemente Ordóñez,Norte,premiun,V009,Amanda María José Bravo,Norte,P0077,Blackview Tab 16, Accesorios,9853.16,5.0,0.11,43846.56,21
VTA0005233,2021-03-07,3,2021,C02138,Oswaldo Flavio Hinojosa,Centro,Ocasional,V033,Jaime Gamez Maldonado,Centro,P0002,Samsung Galaxy S24,Celulares,8106.76,3.0,0.18,19942.63,19
VTA0005234,2021-03-15,3,2021,C00403,María Eugenia Pérez,Norte,Ocasional,V036,  Dr. Ignacio Aparicio  ,Sur,P0120,Timbre Ring Video Pro,Hogar Inteligente,7684.63,3.0,0.14,19826.35,21
VTA0005235,23/03/2021,3,2021,C01019,  Leticia Vargas  ,Norte,Premium,V046,Hermelinda Josefina Rodarte Bahena,Norte,P0074,iPad Mini 6,Tablets,17364.19,5.0,0.1,78138.86,31
VTA0005236,2021-03-05,3,2021,C04337,Sr. Renato Arteaga,Sur,Premium,V012,Rubén Marco Antonio Orta Ramos,Sur,P0100,Fujifilm X-T5,Fotografía,16544.19,5.0,0.19,67003.97,42
VTA0005237,2021-03-26,3,2021,C00498,Vanesa Jaramillo Olivera,Oeste,Regular,V030,Gustavo Camilo Ochoa Gamboa,Oeste,P0010,Huawei Pura 70,Celulares,9605.15,3.0,0.08,26510.21,27
VTA0005238,2021-03-05,3,2021,C04708,Srita. Yolanda Montoya,Centro,Regular,V028,Sofía Delia Gurule Cantú,Centro,P0003,Xiaomi 14 Pro,Celulares,23245.22,5.0,0.03,112739.32,36
VTA0005239,2021-03-20,3,2021,C04097,Graciela Navarro Sanches,Centro,Ocasional,V017,Abraham Apodaca Colunga,Centro,P0016,Tecno Spark 20,audio ,15557.32,3.0,0.12,41071.32,20
VTA0005240,2021-03-21,3,2021,C01521,Lic. Dulce María Caraballo,Norte,Regular,V043,Homero Esquivel,Norte,P0044,Anker Q45,Audio,7968.15,5.0,0.0,39840.75,23
VTA0005241,2021-03-31,3,2021,C00243,Clara Clara Ocampo,Oeste,Ocasional,V035,Estela Haro,Oeste,P0013,Xiaomi Redmi Note 13,Celulares,13070.16,3.0,0.18,-32152.59,30
VTA0005242,2021-03-24,3,2021,C00202,Dr. Gerónimo Barraza,Centro,Ocasional,V019,Jacinto Rodrigo Salazar Rolón,Sur,P0023,Microsoft Surface Pro 9,Laptops,33085.3,5.0,0.14,142266.79,27
VTA0005243,2021-03-04,3,2021,C00316,Arcelia Holguín Ibarra,Este,premiun,V049,Ing. María Teresa Bétancourt,Este,P0068,Lenovo Tab P12,Tablets,14978.7,5.0,0.08,68902.02,21
VTA0005244,2021-03-21,3,2021,C03606,Guillermo Abel Granado Casillas,Centro,Premium,V017,Abraham Apodaca Colunga,Centro,P0110,Reflector 5en1 80cm,audio ,15700.65,,0.01,15543.64,26
VTA0005245,2021-03-24,3,2021,C04964,Alvaro Camilo Batista Ávalos,Sur,Ocasional,V027,Claudio Andrés Gómez Sosa,Sur,P0091,Capturadora Elgato 4K,Gaming,1660.52,5.0,0.16,6974.18,25
VTA0005246,2021-03-19,3,2021,C02681,Bianca Itzel Cruz,Oeste,premiun,V040,Karla Silvia Mireles Patiño,Oeste,P0121,Roomba j7 Plus,Hogar Inteligente,6855.06,1.0,0.18,5621.15,38
VTA0005247,2021-03-22,3,2021,C00594,Zeferino Santana Almonte,Norte,Regular,V043,Homero Esquivel,Norte,P0102,GoPro Hero 12,Fotografía,26118.44,2.0,0.11,46490.82,45
VTA0005248,2021-03-26,3,2021,C02053,Samuel Hinojosa,Oeste,Premium,V038,Violeta Itzel Benavídez,Oeste,P0080,Honor Pad 8,Tablets,9704.1,,0.03,9412.98,19
VTA0005249,2021-03-05,3,2021,C04038,Luisa Benítez,Norte,REGULAR,V045,Marisela Vanesa Chapa Aranda,Norte,P0051,Funda iPhone 15 Pro,fotografia,1170.25,4.0,0.19,3791.61,40
VTA0005250,2021-03-02,3,2021,C00402,Ana Luisa Olivárez,Centro,Premium,V003,Jacinto Rivero Valladares,Centro,P0028,Dell Inspiron 15,audio ,28707.36,2.0,0.15,48802.51,37
VTA0005251,2021-03-05,3,2021,C01499,Dr. Abel Fierro,Este,premiun,V036,  Dr. Ignacio Aparicio  ,Sur,P0074,iPad Mini 6,Tablets,17212.96,3.0,0.19,41827.49,31
VTA0005252,2021-03-25,3,2021,C01545,Beatriz Nelly Gastélum Concepción,Este,Ocasional,V049,Ing. María Teresa Bétancourt,Este,P0100,Fujifilm X-T5,Fotografía,15014.11,5.0,0.19,60807.15,42
